num_downloads,port,board,version,report_date,project,version_full
3,stm32,,1.17,2022-12-01,micropython-stm32-stubs,1.17.post1
3,esp8266,,1.19.1,2022-12-01,micropython-esp8266-stubs,1.19.1.post5
2,rp2,,1.18,2022-12-01,micropython-rp2-stubs,1.18.post1
2,esp32,,1.19.1,2022-12-01,micropython-esp32-stubs,1.19.1.post6
1,stm32,,1.19.1,2022-12-01,micropython-stm32-stubs,1.19.1.post1
1,stm32,,1.19.1,2022-12-01,micropython-stm32-stubs,1.19.1.post3
1,esp8266,,1.19.1,2022-12-01,micropython-esp8266-stubs,1.19.1.post3
1,rp2,,1.18,2022-12-01,micropython-rp2-stubs,1.18.post2
1,stm32,,1.18,2022-12-01,micropython-stm32-stubs,1.18.post3
1,rp2,,1.19.1,2022-12-01,micropython-rp2-stubs,1.19.1.post6
1,stm32,,1.19.1,2022-12-01,micropython-stm32-stubs,1.19.1.post4
1,stm32,,1.18,2022-12-01,micropython-stm32-stubs,1.18.post2
1,esp32,um-tinypico,1.19.1,2022-12-01,micropython-esp32-um-tinypico-stubs,1.19.1.post2
1,stm32,,1.19.1,2022-12-01,micropython-stm32-stubs,1.19.1.post2
1,rp2,,1.17,2022-12-01,micropython-rp2-stubs,1.17.post1
1,stm32,,1.18,2022-12-01,micropython-stm32-stubs,1.18.post1
